#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      8.52e+00      1.59e+00      2.66e-01    1.0e-03
    100      6.81e+00      1.45e+00      1.88e-01    9.0e-04
    200      1.95e+00      4.15e-01      4.54e-02    8.1e-04
    300      5.59e+00      4.19e-01      2.01e-01    7.4e-04
    400      4.40e+00      1.16e+00      8.29e-02    6.6e-04
    500      1.72e+00      4.06e-01      3.70e-02    6.0e-04
    600      1.95e+00      8.97e-02      8.12e-02    5.4e-04
    700      9.79e-01      3.98e-03      4.43e-02    4.9e-04
    800      1.24e+00      3.35e-02      5.85e-02    4.4e-04
    900      8.15e-01      1.52e-01      2.34e-02    4.0e-04
   1000      2.11e+00      2.07e-01      8.63e-02    3.6e-04
   1100      1.06e+00      1.57e-01      1.30e-02    3.2e-04
   1200      1.00e+00      9.10e-02      4.64e-02    2.9e-04
   1300      4.75e+00      3.49e-01      2.78e-01    2.6e-04
   1400      3.23e+00      4.25e-01      8.13e-02    2.4e-04
   1500      6.67e-01      5.79e-02      3.58e-02    2.1e-04
   1600      8.49e+00      1.01e+00      5.18e-01    1.9e-04
   1700      2.15e+00      3.49e-01      8.95e-02    1.7e-04
   1800      6.49e+00      7.81e-01      2.41e-01    1.6e-04
   1900      9.09e-01      1.50e-02      7.54e-02    1.4e-04
   2000      6.27e-01      6.86e-02      3.18e-02    1.3e-04
   2100      6.70e-01      1.49e-02      6.11e-02    1.2e-04
   2200      1.18e+00      1.36e-01      8.98e-02    1.0e-04
   2300      6.75e-01      7.39e-02      5.58e-02    9.4e-05
   2400      6.06e-01      4.86e-02      5.15e-02    8.5e-05
   2500      1.32e+00      2.34e-01      4.13e-02    7.7e-05
   2600      2.65e+00      1.85e-01      2.92e-01    6.9e-05
   2700      1.19e+00      2.07e-01      4.62e-02    6.3e-05
   2800      4.59e-01      1.69e-02      5.81e-02    5.7e-05
   2900      3.99e+00      3.70e-01      4.76e-01    5.1e-05
   3000      1.00e+00      1.77e-01      3.01e-02    4.6e-05
   3100      3.12e-01      3.84e-03      4.76e-02    4.2e-05
   3200      2.93e-01      1.72e-02      4.47e-02    3.8e-05
   3300      4.44e-01      4.45e-02      4.63e-02    3.4e-05
   3400      3.28e-01      3.60e-02      2.92e-02    3.1e-05
   3500      1.07e+00      1.86e-01      4.40e-02    2.8e-05
   3600      5.53e-01      7.15e-02      7.52e-02    2.5e-05
   3700      2.03e+00      2.31e-01      1.86e-01    2.2e-05
   3800      1.47e+00      2.61e-01      4.03e-02    2.0e-05
   3900      3.44e-01      1.34e-03      7.83e-02    1.8e-05
   4000      1.45e+00      1.49e-01      2.00e-01    1.7e-05
   4100      2.12e+00      2.34e-01      2.55e-01    1.5e-05
   4200      1.87e+00      1.62e-01      4.45e-01    1.3e-05
   4300      1.46e+00      1.85e-01      2.82e-01    1.2e-05
   4400      5.54e-01      6.53e-02      1.20e-01    1.1e-05
   4500      3.25e-01      1.85e-02      8.77e-02    9.9e-06
   4600      1.26e+00      1.58e-01      3.07e-02    8.9e-06
   4700      2.04e-01      2.50e-02      4.93e-02    8.1e-06
   4800      1.93e-01      2.14e-03      6.68e-02    7.3e-06
   4900      2.34e+00      3.87e-01      3.06e-01    6.6e-06
   5000      2.69e-01      4.52e-02      3.22e-02    5.9e-06
   5100      7.88e-02      2.34e-03      3.04e-02    5.3e-06
   5200      6.81e-01      1.20e-01      1.95e-02    4.8e-06
   5300      3.20e-01      1.11e-02      1.36e-01    4.4e-06
   5400      2.21e+00      1.75e-01      8.90e-01    3.9e-06
   5500      5.35e-01      8.52e-02      1.10e-01    3.5e-06
   5600      2.95e-01      3.71e-02      1.01e-01    3.2e-06
   5700      5.41e-02      9.63e-04      2.72e-02    2.9e-06
   5800      1.17e-01      1.08e-02      5.25e-02    2.6e-06
   5900      9.31e-02      1.06e-02      2.08e-02    2.4e-06
   6000      8.55e-02      7.75e-03      3.33e-02    2.1e-06
   6100      1.14e-01      7.89e-03      5.60e-02    1.9e-06
   6200      2.71e-01      3.13e-02      6.33e-02    1.7e-06
   6300      1.73e-01      2.40e-02      6.74e-02    1.6e-06
   6400      2.04e+00      3.14e-01      2.90e-01    1.4e-06
   6500      1.24e-01      1.81e-02      4.65e-02    1.3e-06
   6600      2.86e-01      3.35e-02      6.83e-02    1.1e-06
   6700      2.25e-01      3.87e-02      3.61e-02    1.0e-06
   6800      2.55e-01      3.02e-02      5.77e-02    9.3e-07
   6900      8.17e-02      1.94e-03      5.91e-02    8.4e-07
   7000      8.08e-02      3.89e-03      5.62e-02    7.6e-07
   7100      1.15e-01      1.41e-02      1.47e-02    6.9e-07
   7200      1.04e-01      8.87e-03      5.97e-02    6.2e-07
   7300      1.88e+00      3.65e-01      4.67e-01    5.6e-07
   7400      6.10e-01      7.62e-02      1.37e-02    5.0e-07
   7500      1.16e+00      7.86e-02      8.05e-01    4.6e-07
   7600      2.67e-01      1.06e-02      2.19e-01    4.1e-07
   7700      9.26e-01      1.63e-01      6.84e-02    3.7e-07
   7800      1.94e-01      2.27e-02      5.91e-02    3.3e-07
   7900      4.58e-01      5.62e-02      7.49e-02    3.0e-07
   8000      8.24e-01      1.45e-01      4.44e-02    2.7e-07
   8100      2.24e-01      2.68e-02      5.77e-02    2.5e-07
   8200      4.04e-01      7.12e-02      3.20e-02    2.2e-07
   8300      9.52e-01      1.12e-01      3.01e-01    2.0e-07
   8400      2.59e-01      3.15e-02      5.49e-02    1.8e-07
   8500      5.67e-01      9.99e-02      4.84e-02    1.6e-07
   8600      1.41e-01      1.60e-02      5.51e-02    1.5e-07
   8700      8.00e-01      1.41e-01      3.61e-02    1.3e-07
   8800      8.45e-02      6.45e-03      6.33e-02    1.2e-07
   8900      1.63e-01      1.68e-02      1.26e-01    1.1e-07
   9000      1.12e-01      1.21e-02      5.47e-02    9.8e-08
   9100      1.21e-01      1.38e-02      4.73e-02    8.8e-08
   9200      1.19e-01      1.49e-02      5.41e-03    8.0e-08
   9300      8.14e-02      6.45e-03      6.08e-02    7.2e-08
   9400      4.91e-01      4.73e-02      3.03e-01    6.5e-08
   9500      5.88e-01      1.04e-01      3.83e-02    5.9e-08
   9600      9.87e-01      1.56e-01      4.27e-01    5.3e-08
   9700      5.65e-02      6.22e-03      2.62e-02    4.8e-08
   9800      2.74e-01      3.32e-02      6.72e-02    4.3e-08
   9900      1.11e-01      1.16e-02      5.94e-02    3.9e-08
  10000      1.46e-01      1.82e-02      1.01e-02    3.5e-08
