#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      6.29e+00      9.97e-01      1.97e-01    1.0e-03
    100      1.61e+01      3.21e-01      5.37e-01    9.0e-04
    200      1.20e+01      3.82e-01      4.18e-01    8.1e-04
    300      1.93e+01      1.47e+00      6.95e-01    7.4e-04
    400      6.97e+00      4.84e-01      2.56e-01    6.6e-04
    500      6.66e+00      9.07e-02      2.72e-01    6.0e-04
    600      1.81e+00      1.20e-01      7.24e-02    5.4e-04
    700      1.74e+00      2.03e-02      7.88e-02    4.9e-04
    800      4.88e+00      1.64e-01      2.31e-01    4.4e-04
    900      2.06e+00      8.01e-02      1.02e-01    4.0e-04
   1000      5.24e-01      9.26e-02      1.65e-02    3.6e-04
   1100      1.14e+00      1.80e-02      6.32e-02    3.2e-04
   1200      1.16e+00      5.09e-02      6.65e-02    2.9e-04
   1300      8.65e-01      1.30e-02      5.29e-02    2.6e-04
   1400      9.90e-01      7.77e-02      5.35e-02    2.4e-04
   1500      1.38e+00      2.04e-02      9.36e-02    2.1e-04
   1600      9.58e-01      2.89e-02      6.79e-02    1.9e-04
   1700      6.93e-01      3.16e-02      4.93e-02    1.7e-04
   1800      5.23e-01      4.21e-02      3.35e-02    1.6e-04
   1900      9.98e-01      2.04e-02      8.29e-02    1.4e-04
   2000      8.24e-01      4.11e-02      6.73e-02    1.3e-04
   2100      1.02e+00      2.01e-02      9.36e-02    1.2e-04
   2200      3.20e-01      2.64e-02      2.79e-02    1.0e-04
   2300      5.78e-01      1.94e-02      5.72e-02    9.4e-05
   2400      1.18e-01      6.70e-03      1.14e-02    8.5e-05
   2500      8.20e-02      5.52e-03      7.95e-03    7.7e-05
   2600      1.01e+00      1.44e-04      1.20e-01    6.9e-05
   2700      5.69e-02      6.56e-03      3.21e-03    6.3e-05
   2800      3.89e-01      1.66e-02      4.84e-02    5.7e-05
   2900      9.90e-02      1.24e-02      2.97e-03    5.1e-05
   3000      1.45e-01      5.58e-03      2.07e-02    4.6e-05
   3100      9.70e-02      1.12e-02      1.15e-02    4.2e-05
   3200      4.11e-01      1.08e-02      6.48e-02    3.8e-05
   3300      1.11e+00      1.91e-02      1.88e-01    3.4e-05
   3400      4.35e-02      1.34e-03      7.51e-03    3.1e-05
   3500      5.72e-01      1.73e-02      1.05e-01    2.8e-05
   3600      9.60e-01      6.76e-02      1.77e-01    2.5e-05
   3700      2.99e-01      1.36e-02      5.98e-02    2.2e-05
   3800      3.11e-01      2.50e-02      6.02e-02    2.0e-05
   3900      4.07e-01      9.62e-03      9.10e-02    1.8e-05
   4000      2.92e-01      8.53e-03      6.79e-02    1.7e-05
   4100      1.77e-01      1.46e-02      3.93e-02    1.5e-05
   4200      2.95e-01      1.23e-02      7.54e-02    1.3e-05
   4300      1.55e-01      2.23e-02      2.50e-02    1.2e-05
   4400      3.78e-01      2.34e-02      1.02e-01    1.1e-05
   4500      1.03e-01      1.30e-02      1.44e-03    9.9e-06
   4600      3.99e-01      7.16e-03      1.25e-01    8.9e-06
   4700      6.43e-02      6.04e-03      1.81e-02    8.1e-06
   4800      2.46e-01      2.56e-03      8.52e-02    7.3e-06
   4900      6.80e-02      7.77e-03      1.02e-02    6.6e-06
   5000      3.66e-02      4.03e-03      6.63e-03    5.9e-06
   5100      2.94e-01      2.07e-02      1.07e-01    5.3e-06
   5200      1.40e-01      9.85e-03      4.82e-02    4.8e-06
   5300      2.07e-01      1.16e-02      8.47e-02    4.4e-06
   5400      1.02e-01      1.63e-03      4.55e-02    3.9e-06
   5500      1.22e-01      4.88e-03      5.56e-02    3.5e-06
   5600      1.35e-01      2.25e-02      3.81e-02    3.2e-06
   5700      1.12e-01      1.63e-02      3.26e-02    2.9e-06
   5800      6.46e-02      1.13e-02      4.48e-03    2.6e-06
   5900      3.13e-02      1.86e-03      1.51e-02    2.4e-06
   6000      1.79e-01      2.51e-02      6.13e-02    2.1e-06
   6100      1.21e-01      1.46e-02      5.15e-02    1.9e-06
   6200      4.61e-02      4.83e-03      1.53e-02    1.7e-06
   6300      1.56e-01      7.09e-03      9.06e-02    1.6e-06
   6400      3.12e-01      4.53e-02      1.15e-01    1.4e-06
   6500      6.84e-02      4.61e-03      3.83e-02    1.3e-06
   6600      1.41e-01      1.96e-02      5.89e-02    1.1e-06
   6700      1.14e-01      1.67e-02      4.51e-02    1.0e-06
   6800      1.56e-02      1.64e-03      9.01e-03    9.3e-07
   6900      2.30e-02      9.66e-04      1.59e-02    8.4e-07
   7000      9.34e-02      7.99e-03      6.16e-02    7.6e-07
   7100      1.77e-01      3.46e-02      3.91e-02    6.9e-07
   7200      8.97e-02      7.89e-03      6.12e-02    6.2e-07
   7300      8.18e-02      6.29e-03      5.17e-02    5.6e-07
   7400      8.28e-02      1.08e-02      4.56e-02    5.0e-07
   7500      7.13e-02      8.78e-04      5.89e-02    4.6e-07
   7600      1.08e-01      8.47e-03      8.17e-02    4.1e-07
   7700      9.16e-02      5.64e-03      6.81e-02    3.7e-07
   7800      9.05e-02      1.13e-02      5.53e-02    3.3e-07
   7900      8.60e-02      1.07e-02      5.37e-02    3.0e-07
   8000      1.50e-01      2.30e-02      6.64e-02    2.7e-07
   8100      5.78e-02      5.60e-03      4.34e-02    2.5e-07
   8200      6.16e-02      1.04e-02      1.59e-02    2.2e-07
   8300      6.49e-02      8.86e-04      5.88e-02    2.0e-07
   8400      7.14e-02      8.84e-03      8.94e-03    1.8e-07
   8500      1.07e-01      1.05e-02      6.11e-02    1.6e-07
   8600      1.34e-01      1.30e-02      7.92e-02    1.5e-07
   8700      6.88e-02      6.17e-03      4.50e-02    1.3e-07
   8800      1.83e-01      2.11e-02      6.56e-02    1.2e-07
   8900      3.55e-02      5.45e-03      1.66e-02    1.1e-07
   9000      6.18e-02      7.52e-03      1.34e-02    9.8e-08
   9100      1.38e-01      1.14e-02      1.17e-01    8.8e-08
   9200      6.11e-02      1.99e-03      5.67e-02    8.0e-08
   9300      2.87e-01      4.61e-02      1.17e-01    7.2e-08
   9400      4.37e-02      5.46e-03      1.92e-03    6.5e-08
   9500      9.21e-02      1.40e-02      4.61e-02    5.9e-08
   9600      1.34e-01      2.16e-02      5.33e-02    5.3e-08
   9700      2.55e-01      2.92e-02      1.01e-01    4.8e-08
   9800      1.93e-01      2.33e-02      4.85e-02    4.3e-08
   9900      6.61e-02      1.03e-02      3.04e-02    3.9e-08
  10000      6.24e-02      7.49e-03      1.72e-02    3.5e-08
