[2022-03-04 00:50:41,340] DEEPMD INFO    deepmd.entrypoints.train                       _____               _____   __  __  _____           _     _  _   
[2022-03-04 00:50:41,340] DEEPMD INFO    deepmd.entrypoints.train                      |  __ \             |  __ \ |  \/  ||  __ \         | |   (_)| |  
[2022-03-04 00:50:41,340] DEEPMD INFO    deepmd.entrypoints.train                      | |  | |  ___   ___ | |__) || \  / || |  | | ______ | | __ _ | |_ 
[2022-03-04 00:50:41,340] DEEPMD INFO    deepmd.entrypoints.train                      | |  | | / _ \ / _ \|  ___/ | |\/| || |  | ||______|| |/ /| || __|
[2022-03-04 00:50:41,340] DEEPMD INFO    deepmd.entrypoints.train                      | |__| ||  __/|  __/| |     | |  | || |__| |        |   < | || |_ 
[2022-03-04 00:50:41,340] DEEPMD INFO    deepmd.entrypoints.train                      |_____/  \___| \___||_|     |_|  |_||_____/         |_|\_\|_| \__|
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      Please read and cite:
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      Wang, Zhang, Han and E, Comput.Phys.Comm. 228, 178-184 (2018)
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      installed to:         /tmp/pip-req-build-92e_so8c/_skbuild/linux-x86_64-3.7/cmake-install
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      source :              v2.0.2-59-gc5f88f3
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      source brach:         asc-2022
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      source commit:        c5f88f3
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      source commit at:     2022-01-02 22:27:00 +0800
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      build float prec:     double
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      build with tf inc:    /home/asc22g0/CK/cpu_hov/lib/python3.7/site-packages/tensorflow/include
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.entrypoints.train                      build with tf lib:    
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.train.run_options                      ---Summary of the training---------------------------------------
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.train.run_options                      running on:           node1
[2022-03-04 00:50:41,341] DEEPMD INFO    deepmd.train.run_options                      computing device:     cpu:0
[2022-03-04 00:50:41,342] DEEPMD INFO    deepmd.train.run_options                      CUDA_VISIBLE_DEVICES: unset
[2022-03-04 00:50:41,342] DEEPMD INFO    deepmd.train.run_options                      Count of visible GPU: 0
[2022-03-04 00:50:41,342] DEEPMD INFO    deepmd.train.run_options                      num_intra_threads:    0
[2022-03-04 00:50:41,342] DEEPMD INFO    deepmd.train.run_options                      num_inter_threads:    0
[2022-03-04 00:50:41,342] DEEPMD INFO    deepmd.train.run_options                      -----------------------------------------------------------------
[2022-03-04 00:50:41,869] DEEPMD INFO    deepmd.utils.data_system                      ---Summary of DataSystem: training     -----------------------------------------------
[2022-03-04 00:50:41,869] DEEPMD INFO    deepmd.utils.data_system                      found 1 system(s):
[2022-03-04 00:50:41,869] DEEPMD INFO    deepmd.utils.data_system                                                          system  natoms  bch_sz   n_bch   prob  pbc
[2022-03-04 00:50:41,869] DEEPMD INFO    deepmd.utils.data_system                                                            data     192       1   40000  1.000    T
[2022-03-04 00:50:41,869] DEEPMD INFO    deepmd.utils.data_system                      --------------------------------------------------------------------------------------
[2022-03-04 00:50:41,869] DEEPMD INFO    deepmd.train.trainer                          training without frame parameter
[2022-03-04 00:50:42,110] DEEPMD INFO    deepmd.train.trainer                          built lr
[2022-03-04 00:50:42,735] DEEPMD INFO    deepmd.train.trainer                          built network
[2022-03-04 00:50:43,721] DEEPMD INFO    deepmd.train.trainer                          built training
[2022-03-04 00:50:43,763] DEEPMD INFO    deepmd.train.trainer                          initialize model from scratch
[2022-03-04 00:50:44,026] DEEPMD INFO    deepmd.train.trainer                          start training at lr 5.00e-04 (== 5.00e-04), decay_step 5000, decay_rate 0.008379, final lr will be 3.51e-08
[2022-03-04 00:51:06,537] DEEPMD INFO    deepmd.train.trainer                          batch     100 training time 21.97 s, testing time 0.12 s
[2022-03-04 00:51:28,176] DEEPMD INFO    deepmd.train.trainer                          batch     200 training time 21.40 s, testing time 0.12 s
[2022-03-04 00:51:50,038] DEEPMD INFO    deepmd.train.trainer                          batch     300 training time 21.63 s, testing time 0.12 s
[2022-03-04 00:52:11,817] DEEPMD INFO    deepmd.train.trainer                          batch     400 training time 21.54 s, testing time 0.13 s
[2022-03-04 00:52:33,535] DEEPMD INFO    deepmd.train.trainer                          batch     500 training time 21.48 s, testing time 0.13 s
[2022-03-04 00:52:55,753] DEEPMD INFO    deepmd.train.trainer                          batch     600 training time 21.97 s, testing time 0.14 s
[2022-03-04 00:53:17,328] DEEPMD INFO    deepmd.train.trainer                          batch     700 training time 21.34 s, testing time 0.13 s
[2022-03-04 00:53:39,322] DEEPMD INFO    deepmd.train.trainer                          batch     800 training time 21.75 s, testing time 0.12 s
[2022-03-04 00:54:01,171] DEEPMD INFO    deepmd.train.trainer                          batch     900 training time 21.60 s, testing time 0.13 s
[2022-03-04 00:54:23,008] DEEPMD INFO    deepmd.train.trainer                          batch    1000 training time 21.61 s, testing time 0.12 s
[2022-03-04 00:54:44,938] DEEPMD INFO    deepmd.train.trainer                          batch    1100 training time 21.70 s, testing time 0.12 s
[2022-03-04 00:55:06,522] DEEPMD INFO    deepmd.train.trainer                          batch    1200 training time 21.37 s, testing time 0.11 s
[2022-03-04 00:55:28,355] DEEPMD INFO    deepmd.train.trainer                          batch    1300 training time 21.60 s, testing time 0.12 s
[2022-03-04 00:55:50,088] DEEPMD INFO    deepmd.train.trainer                          batch    1400 training time 21.50 s, testing time 0.12 s
[2022-03-04 00:56:11,899] DEEPMD INFO    deepmd.train.trainer                          batch    1500 training time 21.58 s, testing time 0.12 s
[2022-03-04 00:56:33,774] DEEPMD INFO    deepmd.train.trainer                          batch    1600 training time 21.66 s, testing time 0.11 s
[2022-03-04 00:56:55,677] DEEPMD INFO    deepmd.train.trainer                          batch    1700 training time 21.66 s, testing time 0.13 s
[2022-03-04 00:57:17,420] DEEPMD INFO    deepmd.train.trainer                          batch    1800 training time 21.53 s, testing time 0.11 s
[2022-03-04 00:57:39,097] DEEPMD INFO    deepmd.train.trainer                          batch    1900 training time 21.43 s, testing time 0.13 s
[2022-03-04 00:58:00,873] DEEPMD INFO    deepmd.train.trainer                          batch    2000 training time 21.49 s, testing time 0.11 s
[2022-03-04 00:58:01,165] DEEPMD INFO    deepmd.train.trainer                          saved checkpoint model.ckpt
[2022-03-04 00:58:23,071] DEEPMD INFO    deepmd.train.trainer                          batch    2100 training time 21.66 s, testing time 0.13 s
[2022-03-04 00:58:44,799] DEEPMD INFO    deepmd.train.trainer                          batch    2200 training time 21.49 s, testing time 0.13 s
[2022-03-04 00:59:06,558] DEEPMD INFO    deepmd.train.trainer                          batch    2300 training time 21.51 s, testing time 0.14 s
[2022-03-04 00:59:28,233] DEEPMD INFO    deepmd.train.trainer                          batch    2400 training time 21.45 s, testing time 0.12 s
[2022-03-04 00:59:50,246] DEEPMD INFO    deepmd.train.trainer                          batch    2500 training time 21.78 s, testing time 0.12 s
[2022-03-04 01:00:12,197] DEEPMD INFO    deepmd.train.trainer                          batch    2600 training time 21.72 s, testing time 0.12 s
[2022-03-04 01:00:34,080] DEEPMD INFO    deepmd.train.trainer                          batch    2700 training time 21.64 s, testing time 0.13 s
[2022-03-04 01:00:55,995] DEEPMD INFO    deepmd.train.trainer                          batch    2800 training time 21.67 s, testing time 0.14 s
[2022-03-04 01:01:17,727] DEEPMD INFO    deepmd.train.trainer                          batch    2900 training time 21.49 s, testing time 0.13 s
[2022-03-04 01:01:39,546] DEEPMD INFO    deepmd.train.trainer                          batch    3000 training time 21.60 s, testing time 0.11 s
[2022-03-04 01:02:01,031] DEEPMD INFO    deepmd.train.trainer                          batch    3100 training time 21.27 s, testing time 0.11 s
[2022-03-04 01:02:22,793] DEEPMD INFO    deepmd.train.trainer                          batch    3200 training time 21.52 s, testing time 0.13 s
[2022-03-04 01:02:44,822] DEEPMD INFO    deepmd.train.trainer                          batch    3300 training time 21.80 s, testing time 0.11 s
[2022-03-04 01:03:06,608] DEEPMD INFO    deepmd.train.trainer                          batch    3400 training time 21.57 s, testing time 0.11 s
