#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.53e+01      5.80e-01      7.99e-01    5.0e-04
    100      9.97e+00      3.36e-02      3.15e-01    5.0e-04
    200      7.61e+00      2.41e-02      2.41e-01    5.0e-04
    300      7.22e+00      1.12e-01      2.28e-01    5.0e-04
    400      6.72e+00      5.31e-02      2.13e-01    5.0e-04
    500      7.22e+00      6.63e-02      2.28e-01    5.0e-04
    600      6.71e+00      1.04e-01      2.12e-01    5.0e-04
    700      5.90e+00      2.16e-02      1.86e-01    5.0e-04
    800      5.21e+00      4.73e-02      1.65e-01    5.0e-04
    900      7.26e+00      2.30e-02      2.29e-01    5.0e-04
   1000      6.45e+00      5.11e-02      2.04e-01    5.0e-04
   1100      5.77e+00      1.74e-01      1.82e-01    5.0e-04
   1200      5.83e+00      3.25e-02      1.84e-01    5.0e-04
   1300      5.43e+00      1.41e-01      1.72e-01    5.0e-04
   1400      5.32e+00      9.07e-02      1.68e-01    5.0e-04
   1500      4.79e+00      1.53e-01      1.51e-01    5.0e-04
   1600      4.51e+00      6.89e-03      1.43e-01    5.0e-04
   1700      4.56e+00      1.79e-01      1.44e-01    5.0e-04
   1800      5.06e+00      9.29e-02      1.60e-01    5.0e-04
   1900      4.43e+00      2.23e-02      1.40e-01    5.0e-04
   2000      4.70e+00      5.04e-02      1.48e-01    5.0e-04
   2100      4.68e+00      1.58e-01      1.48e-01    5.0e-04
   2200      4.40e+00      1.73e-01      1.39e-01    5.0e-04
   2300      4.61e+00      1.05e-01      1.46e-01    5.0e-04
   2400      4.41e+00      6.94e-03      1.39e-01    5.0e-04
   2500      4.92e+00      1.60e-01      1.55e-01    5.0e-04
   2600      5.24e+00      1.60e-02      1.66e-01    5.0e-04
   2700      5.13e+00      1.85e-01      1.62e-01    5.0e-04
   2800      4.33e+00      2.50e-01      1.36e-01    5.0e-04
   2900      4.82e+00      4.47e-02      1.52e-01    5.0e-04
   3000      4.17e+00      1.71e-02      1.32e-01    5.0e-04
   3100      3.79e+00      1.15e-01      1.20e-01    5.0e-04
   3200      4.12e+00      9.02e-02      1.30e-01    5.0e-04
   3300      3.97e+00      2.40e-02      1.26e-01    5.0e-04
   3400      4.51e+00      9.57e-02      1.42e-01    5.0e-04
   3500      4.25e+00      7.82e-02      1.34e-01    5.0e-04
   3600      4.06e+00      2.44e-01      1.27e-01    5.0e-04
   3700      4.00e+00      2.48e-01      1.26e-01    5.0e-04
   3800      4.09e+00      1.39e-01      1.29e-01    5.0e-04
   3900      4.27e+00      8.00e-02      1.35e-01    5.0e-04
   4000      3.59e+00      2.02e-01      1.13e-01    5.0e-04
   4100      4.72e+00      3.59e-02      1.49e-01    5.0e-04
   4200      3.90e+00      9.64e-02      1.23e-01    5.0e-04
   4300      3.93e+00      7.40e-02      1.24e-01    5.0e-04
   4400      3.63e+00      2.00e-01      1.14e-01    5.0e-04
   4500      3.85e+00      1.80e-01      1.21e-01    5.0e-04
   4600      4.20e+00      1.49e-02      1.33e-01    5.0e-04
   4700      3.30e+00      2.12e-02      1.04e-01    5.0e-04
   4800      3.95e+00      6.23e-02      1.25e-01    5.0e-04
   4900      3.38e+00      3.51e-02      1.07e-01    5.0e-04
   5000      3.02e+00      2.17e-01      1.47e-01    4.2e-06
   5100      3.90e-01      2.22e-03      1.27e-01    4.2e-06
   5200      3.64e-01      7.11e-04      1.19e-01    4.2e-06
   5300      3.84e-01      1.48e-03      1.25e-01    4.2e-06
   5400      3.75e-01      5.95e-05      1.22e-01    4.2e-06
   5500      3.47e-01      1.69e-04      1.13e-01    4.2e-06
   5600      3.23e-01      2.33e-03      1.05e-01    4.2e-06
   5700      3.24e-01      1.89e-03      1.06e-01    4.2e-06
   5800      3.51e-01      1.74e-05      1.15e-01    4.2e-06
   5900      3.60e-01      2.69e-03      1.17e-01    4.2e-06
   6000      3.45e-01      8.81e-04      1.13e-01    4.2e-06
   6100      3.40e-01      2.51e-03      1.11e-01    4.2e-06
   6200      3.50e-01      4.23e-03      1.13e-01    4.2e-06
   6300      3.48e-01      1.87e-03      1.14e-01    4.2e-06
   6400      3.23e-01      8.84e-04      1.05e-01    4.2e-06
   6500      3.27e-01      2.96e-03      1.06e-01    4.2e-06
   6600      3.40e-01      1.08e-03      1.11e-01    4.2e-06
   6700      3.14e-01      4.67e-04      1.02e-01    4.2e-06
   6800      3.47e-01      2.19e-04      1.13e-01    4.2e-06
   6900      3.13e-01      6.43e-05      1.02e-01    4.2e-06
   7000      3.46e-01      1.76e-03      1.13e-01    4.2e-06
   7100      3.08e-01      1.22e-03      1.01e-01    4.2e-06
   7200      3.42e-01      3.68e-03      1.11e-01    4.2e-06
   7300      3.39e-01      8.22e-04      1.11e-01    4.2e-06
   7400      3.49e-01      1.03e-03      1.14e-01    4.2e-06
   7500      3.26e-01      1.99e-03      1.06e-01    4.2e-06
   7600      3.65e-01      2.65e-03      1.19e-01    4.2e-06
   7700      3.62e-01      1.82e-03      1.18e-01    4.2e-06
   7800      3.27e-01      4.87e-04      1.07e-01    4.2e-06
   7900      3.91e-01      4.87e-03      1.26e-01    4.2e-06
   8000      3.19e-01      1.16e-03      1.04e-01    4.2e-06
   8100      3.24e-01      1.31e-03      1.06e-01    4.2e-06
   8200      3.07e-01      1.78e-03      9.99e-02    4.2e-06
   8300      3.33e-01      6.77e-04      1.09e-01    4.2e-06
   8400      3.76e-01      7.76e-04      1.23e-01    4.2e-06
   8500      3.13e-01      3.40e-03      1.01e-01    4.2e-06
   8600      3.52e-01      1.41e-03      1.15e-01    4.2e-06
   8700      3.61e-01      1.50e-03      1.18e-01    4.2e-06
   8800      3.22e-01      3.27e-03      1.04e-01    4.2e-06
   8900      3.64e-01      1.79e-03      1.19e-01    4.2e-06
   9000      2.86e-01      3.41e-04      9.35e-02    4.2e-06
   9100      3.25e-01      3.00e-03      1.05e-01    4.2e-06
   9200      3.12e-01      1.85e-04      1.02e-01    4.2e-06
   9300      3.39e-01      3.12e-03      1.10e-01    4.2e-06
   9400      3.10e-01      1.29e-03      1.01e-01    4.2e-06
   9500      2.98e-01      2.10e-03      9.67e-02    4.2e-06
   9600      3.07e-01      3.27e-04      1.00e-01    4.2e-06
   9700      3.26e-01      1.46e-03      1.06e-01    4.2e-06
   9800      3.19e-01      5.94e-04      1.04e-01    4.2e-06
   9900      3.15e-01      1.89e-03      1.03e-01    4.2e-06
  10000      1.30e-01      4.27e-03      1.12e-01    3.5e-08
